node_id,x,y,unique_agency_id,route_type,stop_id,stop_name,parent_station,stop_code,wheelchair_boarding,zone_id,location_type,net_type
14423_gvb,4.928811,52.394878,gvb,3.0,14423,"Amsterdam, Rode Kruisstraat",stoparea:2353,01111,1.0,,0,transit
15482_gvb,4.863782,52.385199,gvb,3.0,15482,"Amsterdam, Vredenhof",stoparea:2580,02088,1.0,,0,transit
1535306_gvb,4.884411,52.391121,gvb,3.0,1535306,"Amsterdam, Houtmankade",stoparea:2266,02163,1.0,,0,transit
1689900_gvb,4.881466,52.385257,gvb,3.0,1689900,"Amsterdam, Nassauplein",stoparea:339153,02111,1.0,,0,transit
15218_gvb,4.870526,52.371189,gvb,0.0,15218,"Amsterdam, De Clercqstraat",stoparea:2368,02154,1.0,,0,transit
1535319_gvb,4.846469,52.386011,gvb,0.0,1535319,"Amsterdam, Molenwerf",stoparea:177363,02174,1.0,,0,transit
14451_gvb,4.868642,52.385382,gvb,3.0,14451,"Amsterdam, Van Hallstraat",stoparea:2559,02321,0.0,,0,transit
15469_gvb,4.845233,52.377781,gvb,3.0,15469,"Amsterdam, Bos en Lommerplein",stoparea:2807,03061,0.0,,0,transit
1379027_gvb,4.815344,52.355216,gvb,3.0,1379027,"Amsterdam, Piet Wiedijkstraat",stoparea:2456,04054,0.0,,0,transit
14479_gvb,4.850103,52.351541,gvb,3.0,14479,"Amsterdam, Hoofddorpplein",stoparea:2293,07048,0.0,,0,transit
15294_gvb,4.89157,52.381507,gvb,3.0,15294,"Amsterdam, Buiten Brouwersstraat",stoparea:2537,05081,0.0,,0,transit
15293_gvb,4.891289,52.381668,gvb,3.0,15293,"Amsterdam, Buiten Brouwersstraat",stoparea:2537,05082,0.0,,0,transit
15259_gvb,4.863264,52.353182,gvb,0.0,15259,"Amsterdam, Valeriusplein",stoparea:2477,07032,0.0,,0,transit
14675_gvb,4.889857,52.326019,gvb,3.0,14675,"Amsterdam, Nieuw Herlaer",stoparea:2814,07339,1.0,,0,transit
15718_gvb,4.890313,52.325913,gvb,3.0,15718,"Amsterdam, Nieuw Herlaer",stoparea:2814,07340,1.0,,0,transit
14873_gvb,4.947651,52.36476,gvb,3.0,14873,"Amsterdam, Insulindeweg",stoparea:2643,08119,0.0,,0,transit
15874_gvb,4.913833,52.358401,gvb,0.0,15874,"Amsterdam, Camperstraat",stoparea:2863,09023,1.0,,0,transit
1480231_gvb,4.899511,52.377954,gvb,1.0,1480231,"Amsterdam, Centraal Station",stoparea:285522,09575,1.0,,0,transit
