BU_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,p_w_migr,p_nw_migr
BU03630500,1915,1010,0.086,0.317,0.34299999999999997,1.8,420,470,,0.34,0.16,11913.0,629,86.86,923.14,320.17,346.42999999999995,,0.2454308093994778
BU03630501,1510,1015,0.11800000000000001,0.5429999999999999,0.16899999999999998,0.3,400,220,,0.1,0.09,16221.0,491,119.77000000000001,895.23,551.145,171.535,,0.1456953642384106
BU03630502,2480,1510,0.13,0.522,0.165,0.3,625,470,,0.12,0.11,22665.0,458,196.3,1313.7,788.22,249.15,,0.18951612903225806
BU03630503,2905,1800,0.132,0.488,0.19899999999999998,0.4,725,420,36.6,0.22,0.15,19056.0,493,237.60000000000002,1562.4,878.4,358.2,,0.14457831325301204
BU03630505,335,255,0.172,0.6409999999999999,0.065,0.2,105,55,,0.02,0.02,18471.0,319,43.86,211.14,163.45499999999998,16.575,,0.16417910447761194
BU03630506,155,115,0.336,0.7909999999999999,0.052000000000000005,0.2,30,35,,0.02,0.01,12157.0,320,38.64,76.36,90.96499999999999,5.98,,0.22580645161290322
BU03630600,2720,1855,0.15,0.55,0.154,0.3,730,355,35.9,0.11,0.1,27663.0,386,278.25,1576.75,1020.2500000000001,285.67,,0.13051470588235295
BU03630602,2925,1870,0.106,0.48,0.207,0.3,830,355,42.1,0.13,0.11,25763.0,493,198.22,1671.78,897.6,387.09,,0.12136752136752137
BU03630603,1465,945,0.154,0.597,0.127,0.3,340,315,,0.07,0.06,26525.0,351,145.53,799.47,564.165,120.015,,0.2150170648464164
BU03630604,935,750,0.19,0.7120000000000001,0.066,0.2,260,225,,0.04,0.04,26727.0,279,142.5,607.5,534.0000000000001,49.5,,0.24064171122994651
BU03630605,190,115,0.155,0.423,0.198,0.3,55,35,,0.02,0.02,12567.0,459,17.825,97.175,48.644999999999996,22.77,,0.18421052631578946
BU03630606,4325,2890,0.135,0.546,0.16899999999999998,0.3,1225,625,39.8,0.21,0.19,22924.0,441,390.15000000000003,2499.85,1577.94,488.40999999999997,,0.14450867052023122
BU03630607,860,605,0.14,0.503,0.182,0.3,245,110,,0.05,0.05,18887.0,568,84.7,520.3,304.315,110.11,,0.12790697674418605
BU03630608,240,160,0.068,0.478,0.191,0.2,75,40,,0.05,0.04,6712.0,412,10.88,149.12,76.47999999999999,30.560000000000002,,0.16666666666666666
BU03630609,685,510,0.12300000000000001,0.574,0.10800000000000001,0.2,190,105,,0.05,0.04,16670.0,386,62.730000000000004,447.27,292.73999999999995,55.080000000000005,,0.15328467153284672
BU03630610,2100,1315,0.11800000000000001,0.503,0.201,0.4,535,210,,0.1,0.09,22183.0,480,155.17000000000002,1159.83,661.445,264.315,,0.1
BU03630611,2950,1960,0.146,0.545,0.156,0.3,750,375,,0.12,0.11,26716.0,434,286.15999999999997,1673.8400000000001,1068.2,305.76,,0.1271186440677966
BU03630700,255,195,0.075,0.478,0.145,0.2,90,45,,0.03,0.03,10318.0,410,14.625,180.375,93.21,28.275,,0.17647058823529413
BU03630701,145,95,,,,0.3,60,30,,0.03,0.03,5377.0,474,,,,,,0.20689655172413793
BU03630702,990,720,0.111,0.5660000000000001,0.13699999999999998,0.3,325,175,,0.06,0.05,18383.0,481,79.92,640.08,407.52000000000004,98.63999999999999,,0.17676767676767677
BU03630703,305,200,0.095,0.5429999999999999,0.23399999999999999,0.3,90,50,,0.05,0.04,7089.0,572,19.0,181.0,108.59999999999998,46.8,,0.16393442622950818
BU03630704,2420,1510,0.1,0.415,0.233,0.3,740,270,,0.14,0.12,20374.0,542,151.0,1359.0,626.65,351.83000000000004,,0.1115702479338843
BU03630705,1060,610,0.09699999999999999,0.40399999999999997,0.306,0.4,295,120,,0.11,0.1,11161.0,734,59.169999999999995,550.83,246.43999999999997,186.66,,0.11320754716981132
BU03630706,1155,750,0.109,0.43799999999999994,0.247,0.4,330,110,,0.07,0.06,20348.0,598,81.75,668.25,328.49999999999994,185.25,,0.09523809523809523
BU03630707,915,550,0.079,0.33799999999999997,0.342,0.7,265,105,,0.16,0.14,6739.0,677,43.45,506.55,185.89999999999998,188.10000000000002,,0.11475409836065574
BU03630800,3325,2020,0.12,0.523,0.2,0.5,895,595,41.4,0.28,0.21,15698.0,515,242.39999999999998,1777.6,1056.46,404.0,,0.17894736842105263
BU03630801,2150,1220,0.121,0.491,0.212,0.4,565,435,,0.21,0.18,11794.0,490,147.62,1072.38,599.02,258.64,,0.20232558139534884
BU03630803,1850,1095,0.079,0.369,0.29,0.5,490,240,,0.38,0.34,5419.0,594,86.505,1008.495,404.055,317.54999999999995,,0.12972972972972974
BU03630804,405,245,0.09,0.43200000000000005,0.21600000000000003,0.3,105,55,,0.05,0.04,10184.0,484,22.05,222.95,105.84000000000002,52.92000000000001,,0.13580246913580246
BU03630900,80,35,,,,,10,15,,0.27,0.17,497.0,,,,,,,0.1875
BU03630901,1710,1060,0.11199999999999999,0.643,0.11699999999999999,0.4,335,375,,0.12,0.09,19153.0,388,118.71999999999998,941.28,681.58,124.02,,0.21929824561403508
BU03630902,2190,1335,0.126,0.53,0.135,0.4,415,660,,0.18,0.12,17628.0,379,168.21,1166.79,707.5500000000001,180.22500000000002,,0.3013698630136986
BU03630903,1725,980,0.163,0.514,0.159,0.4,320,585,,0.25,0.2,8552.0,367,159.74,820.26,503.72,155.82,,0.3391304347826087
BU03630904,2385,1480,0.17,0.589,0.145,0.3,525,685,,0.11,0.1,22944.0,313,251.60000000000002,1228.4,871.7199999999999,214.6,,0.28721174004192873
BU03630905,1375,670,0.076,0.318,0.387,0.5,355,285,,0.09,0.07,18650.0,557,50.92,619.08,213.06,259.29,,0.20727272727272728
BU03630907,960,610,0.166,0.523,0.142,0.4,200,190,,0.07,0.05,17562.0,434,101.26,508.74,319.03000000000003,86.61999999999999,,0.19791666666666666
BU03630908,2810,1760,0.127,0.49200000000000005,0.19,0.5,640,400,36.8,0.22,0.17,16542.0,457,223.52,1536.48,865.9200000000001,334.4,,0.1423487544483986
BU03631000,30,15,,,,,10,10,,3.02,1.44,21.0,,,,,,,0.3333333333333333
BU03631001,5,5,,,,,5,5,,0.41,0.41,,,,,,,,1.0
BU03631002,0,0,,,,,0,0,,3.22,1.94,,,,,,,,
BU03631003,25,10,,,,,5,5,,5.7,3.85,7.0,,,,,,,0.2
BU03631004,5,5,,,,,5,0,,0.7,0.7,,,,,,,,0.0
BU03631005,80,75,,,,2.1,35,10,,10.12,7.02,12.0,,,,,,,0.125
BU03631006,5,0,,,,,0,0,,5.36,4.31,,,,,,,,0.0
BU03631007,10,5,,,,,5,5,,0.47,0.42,26.0,,,,,,,0.5
BU03631100,25,10,,,,,15,10,,0.46,0.46,58.0,,,,,,,0.4
BU03631102,0,0,,,,,0,0,,0.8,0.78,,,,,,,,
BU03631103,80,60,,,,,20,40,,2.11,2.08,39.0,,,,,,,0.5
BU03631104,20,10,,,,,5,0,,1.13,1.0,23.0,,,,,,,0.0
BU03631105,730,650,0.162,0.79,0.017,1.4,350,230,,0.86,0.85,859.0,,105.3,544.7,513.5,11.05,,0.3150684931506849
BU03631107,0,0,,,,,0,0,,0.84,0.78,,,,,,,,
BU03631109,0,0,,,,,0,0,,1.49,1.25,,,,,,,,
BU03631200,1735,860,0.066,0.21600000000000003,0.45799999999999996,0.5,370,235,,0.66,0.3,5700.0,515,56.760000000000005,803.24,185.76000000000002,393.88,,0.13544668587896252
